id,name,longitude,latitude,distance,rate,kinds,country
9544386,Гранд Круиз,37.3039055,44.9439201,5511.52271853,1,"accomodations,other_hotels",Россия
1770779,база отдыха калина красная,37.3012886,44.943882,5547.47130242,2,"accomodations,other_hotels",Россия
9580148,Черноморская,37.3008347,44.9440041,5568.41393155,1,"accomodations,other_hotels",Россия
1770781,Анапская,37.3011742,44.9445801,5625.2719939,1,"accomodations,other_hotels",Россия
1770780,"База отдыха ""Снегири""",37.3003006,44.9448853,5673.38835794,1,"accomodations,other_hotels",Россия
1770783,База отдыха Снегири,37.3009338,44.9450569,5681.25353581,1,"guest_houses,accomodations",Россия
1770818,Евро парк,37.305603,44.9458427,5700.85402918,1,"accomodations,other_hotels",Россия
5667779,Джеметинский,37.3009071,44.9452782,5705.76576847,1,"accomodations,other_hotels",Россия
1770816,Родничок,37.300724,44.9454994,5732.79707243,1,"accomodations,guest_houses",Россия
1770986,Фазенда,37.3535309,44.9396439,5761.17668253,1,"accomodations,motels",Россия
1770864,Восток,37.348732,44.9416618,5777.01977549,1,"accomodations,other_hotels",Россия
9515146,Пансионат ФЕЯ-2,37.2981453,44.9463005,5865.64749587,1,"accomodations,other_hotels",Россия
9544380,пансионат фея-3,37.3002167,44.9475517,5963.99991065,2,"accomodations,other_hotels",Россия
9580158,Венера 2,37.3019981,44.948597,6050.05744494,2,"accomodations,guest_houses",Россия
1770806,гостевои дом камена,37.2971268,44.9486618,6139.74307922,2,"accomodations,guest_houses",Россия
5667780,отель скала,37.3008804,44.9493141,6145.14087414,2,"accomodations,resorts",Россия
1770802,"Мини-гостиница ""Розовый фонтан""",37.2961426,44.9485359,6145.75862458,1,"accomodations,guest_houses",Россия
1770801,"Гостиница ""Каурма""",37.2956657,44.9484863,6150.28623871,1,"accomodations,other_hotels",Россия
1770817,Пионерская зорька,37.3031769,44.9505157,6243.6340885,1,"accomodations,other_hotels",Россия
9580160,Dublin&Dolphin,37.3030891,44.9512749,6328.11207411,1,"accomodations,other_hotels",Россия
1770792,Ветеран,37.2943649,44.9499359,6333.19248375,1,"guest_houses,accomodations",Россия
1770805,Морской бриз,37.2936554,44.9501305,6369.41885523,1,"guest_houses,accomodations",Россия
1770773,Кайт,37.295475,44.9505577,6376.58732486,1,"guest_houses,accomodations",Россия
1770824,Дол Полярные Зори,37.3019447,44.9518509,6406.17766049,1,"accomodations,other_hotels",Россия
1770803,гостиница сибирь джемете,37.2956467,44.9511948,6441.77472978,2,"accomodations,other_hotels",Россия
1770823,Улыбка,37.2997131,44.9521027,6467.28650782,1,"accomodations,other_hotels",Россия
9953992,Аленка,37.2991867,44.9520531,6470.19988868,1,"accomodations,other_hotels",Россия
1770825,Маэстро,37.3041115,44.9528198,6485.12367318,1,"accomodations,other_hotels",Россия
1770804,Диалог,37.2960968,44.9518661,6505.02916185,1,"apartments,accomodations",Россия
9544388,Дженифер,37.2954559,44.9518242,6512.93534685,1,"accomodations,other_hotels",Россия
5667773,Любимый берег,37.2975349,44.9528618,6585.92402604,1,"guest_houses,accomodations",Россия
9580155,ява отель,37.2968979,44.9535217,6668.80104618,2,"accomodations,other_hotels",Россия
9580161,Отель «Радуга Серенити»,37.3008957,44.9543076,6689.59327944,1,"accomodations,other_hotels",Россия
9580156,Солнечный,37.2983246,44.9542122,6718.85655536,1,"accomodations,other_hotels",Россия
1770822,Del Mare,37.3000717,44.954525,6725.35073745,1,"accomodations,other_hotels",Россия
5667776,Общежитие,37.296524,44.9541626,6745.0664398,1,"accomodations,hostels",Россия
