id,xid,name,longitude,latitude,distance,rate,osm,kinds,country
5667785,W224608715,Сибур-Юг,37.2844048,44.9620667,7854.08433757,1,way/224608715,"accomodations,other_hotels",Россия
9580194,W442686709,,37.2894096,44.9631805,7855.71268251,0,way/442686709,"accomodations,other_hotels",Россия
1770906,N6368846212,мини-отель family hug,37.2928238,44.9643974,7919.09040466,2,node/6368846212,"accomodations,guest_houses",Россия
9580179,W224608810,Прометей,37.2868423,44.9635429,7951.45484079,1,way/224608810,"accomodations,other_hotels",Unknown
9580193,W442686711,,37.2884369,44.9638863,7952.42486938,0,way/442686711,"accomodations,other_hotels",Unknown
8570035,N3214625321,гостевои дом экодом белые росы,37.2931633,44.964817,7958.31511332,2,node/3214625321,"accomodations,guest_houses,tourist_facilities,conveniences,shops",Unknown
1770872,W224534863,Северное сияние,37.2835159,44.9629745,7971.88883079,1,way/224534863,"accomodations,other_hotels",Unknown
9953995,N6126565305,Северное Сияние 2,37.282505,44.9634705,8050.36079252,1,node/6126565305,"campsites,accomodations",Unknown
1770866,N6126569468,Северное Сияние 2,37.2826691,44.9635277,8051.7972654,1,node/6126569468,"campsites,accomodations",Unknown
9644079,W601029102,,37.2810402,44.9637985,8123.22656821,0,way/601029102,"guest_houses,accomodations",Россия
9580177,W895678610,Lemoni Hotel,37.2812157,44.9638748,8126.84981216,1,way/895678610,"accomodations,other_hotels",Россия
5667793,W601029109,,37.2802162,44.963623,8127.3621116,0,way/601029109,"guest_houses,accomodations",Россия
5667791,W601029108,,37.2804222,44.9637604,8136.14083473,0,way/601029108,"guest_houses,accomodations",Россия
9953994,N6542273585,Барвиха,37.2816353,44.9640846,8137.43209404,2,node/6542273585,"accomodations,guest_houses",Россия
5667788,W601029101,,37.2807846,44.9640045,8151.88936578,0,way/601029101,"guest_houses,accomodations",Россия
5667792,W601029106,,37.2799149,44.9638824,8162.99815418,0,way/601029106,"guest_houses,accomodations",Россия
5667789,W601029092,,37.2821159,44.9644547,8163.68693678,0,way/601029092,"guest_houses,accomodations",Россия
9644076,W601029091,,37.2813377,44.9643135,8169.28267322,0,way/601029091,"guest_houses,accomodations",Россия
5667790,W601029105,,37.280117,44.9640045,8169.93408968,0,way/601029105,"guest_houses,accomodations",Россия
